,Name,Category,Effect
0,Ability Capsule,Hold items,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
1,Ability Patch,General items,Changes a Pokémon's ability to its Hidden Ability.
2,Ability Shield,None,An item to be held by a Pokémon. This cute and rather unique-looking shield protects the holder from having its Ability changed by others.
3,Ability Urge,Battle items,"When used, it activates the Ability of an ally Pokémon."
4,Abomasite,Hold items,Enables Abomasnow to Mega Evolve during battle.
5,Absolite,Hold items,Enables Absol to Mega Evolve during battle.
6,Absorb Bulb,Hold items,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
7,Academy Ball,None,"The academy’s standard-issue ball in a regulation size. Lots of students believe that if you kick it right on the academy emblem, it’ll fly in a straight line."
8,Academy Bottle,None,"A bottle emblazoned with the academy’s emblem. It’s light, sturdy, and vacuum insulated, so it’ll keep your hots hot and your colds cold."
9,Academy Cup,None,The academy’s standard-issue cup for picnicking. The careful design of its mouth makes it popular both inside and outside the academy.
10,Academy Tablecloth,None,The academy’s standard-issue tablecloth. It’s made with the latest fiber-processing technology and is so tough that not even a Razor Claw can tear it.
11,Adamant Crystal,Hold items,
12,Adamant Mint,Battle items,Changes the Pokémon's stats to match the Adamant nature.
13,Adamant Orb,Hold items,Increases the power of Dragon- and Steel-type moves when held by Dialga.
14,Adrenaline Orb,Hold items,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
15,Aerodactylite,Hold items,Enables Aerodactyl to Mega Evolve during battle.
16,Aggronite,Hold items,Enables Aggron to Mega Evolve during battle.
17,Aguav Berry,Berries,"Restores HP if it's low, but may cause confusion."
18,Air Balloon,Hold items,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst."
19,Alakazite,Hold items,Enables Alakazam to Mega Evolve during battle.
20,Alomomola Mucus,General items,"Material obtained after defeating/catching Alomomola, used in TM crafting."
21,Aloraichium Z,Hold items,"Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer."
22,Altarianite,Hold items,Enables Altaria to Mega Evolve during battle.
23,Ampharosite,Hold items,Enables Ampharos to Mega Evolve during battle.
24,Amulet Coin,Hold items,Doubles prize money if held.
25,Antidote,Medicine,Cures a Pokémon of poisoning.
26,Apicot Berry,Berries,Raises Special Defense when HP is low.
27,Apple,None,This very sweet ingredient is sliced thin to make it easy to add into a sandwich.
28,Applin Juice,General items,"Material obtained after defeating/catching Applin, used in TM crafting."
29,Apricorn,General items,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch.
30,Armor Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
31,Armorite Ore,General items,
32,Arrokuda Scales,General items,"Material obtained after defeating/catching Arrokuda, used in TM crafting."
33,Aspear Berry,Berries,"If held by a Pokémon, it defrosts it."
34,Assault Vest,Hold items,Raises Special Defense but prevents the use of status moves.
35,Audinite,Hold items,Enables Audino to Mega Evolve during battle.
36,Auspicious Armor,General items,Evolves Charcadet into Armarouge.
37,Aux Evasion,Battle items,Makes moves less likely to strike a Pokémon during a battle.
38,Aux Guard,Battle items,Sharply boosts the defensive stats of a Pokémon during a battle.
39,Aux Power,Battle items,Sharply boosts the offensive stats of a Pokémon during a battle.
40,Aux Powerguard,Battle items,Sharply boosts the offensive and defensive stats of a Pokémon during a battle.
41,Avocado,None,"An ingredient with sweet notes—though its flavor is very mild. The avocado’s richness, however, makes it satisfying to eat."
42,Awakening,Medicine,Wakes up a sleeping Pokémon.
43,Axew Scales,General items,"Material obtained after defeating/catching Axew, used in TM crafting."
44,Azurill Fur,General items,"Material obtained after defeating/catching Azurill, used in TM crafting."
45,Babiri Berry,Berries,Weakens a supereffective Steel-type attack against the holding Pokémon.
46,Bach's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.
47,Bacon,None,"This very salty ingredient has been cooked just shy of charred, making it burst with fragrance and tasty flavor."
48,Bagon Scales,General items,"Material obtained after defeating/catching Bagon, used in TM crafting."
49,Baguette,None,"A long loaf sliced into top and bottom halves. Its aroma of wheat and its straightforward, salty flavor make it pair well with all kinds of sandwich ingredients."
50,Ball of Mud,General items,
51,Balm Mushroom,General items,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
52,Banana,None,"A very sweet ingredient. This go-to fruit is sweet and rich, and it’s beloved by many Pokémon."
53,Banettite,Hold items,Enables Banette to Mega Evolve during battle.
54,Barboach Slime,General items,"Material obtained after defeating/catching Barboach, used in TM crafting."
55,Barred Cup,None,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around."
56,Basculin Fang,General items,"Material obtained after defeating/catching Basculin, used in TM crafting."
57,Basil,None,"A very bitter ingredient that’s quite versatile, as herbs go. It’s fragrant and goes well with tomatoes."
58,Battle Tablecloth,None,"A garish, eye-catching tablecloth. Putting this on your picnic table will inspire any person or Pokémon who eats there to do their best."
59,Beach Glass,General items,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.
60,Bean Cake,General items,
61,Beast Ball,Pokeballs,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
62,Beedrillite,Hold items,Enables Beedrill to Mega Evolve during battle.
63,Belue Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
64,Bergmite Ice,General items,"Material obtained after defeating/catching Bergmite, used in TM crafting."
65,Berry Juice,Medicine,Restores 20 HP.
66,Berry Sweet,Hold items,Evolves Milcery into Blueberry Flavor Alcremie.
67,Big Bamboo Shoot,None,A large and rare bamboo shoot. It’s extremely popular with a certain class of gourmands.
68,Big Malasada,Medicine,Heals all major status conditions.
69,Big Mushroom,General items,A large and rare mushroom. It is sought after by collectors.
70,Big Nugget,General items,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.
71,Big Pearl,General items,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
72,Big Root,Hold items,Recovers more HP from HP-stealing moves.
73,Binding Band,Hold items,A band that increases the power of binding moves when held.
74,Bitter Herba Mystica,None,"A legendary condiment with a deeply bitter taste. It’s said to dramatically bolster a body’s immune defenses, though that hasn’t been proven."
75,Black Apricorn,General items,A black Apricorn It has an indescribable scent.
76,Black Augurite,General items,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
77,Black Belt,Hold items,Increases the power of Fighting-type moves.
78,Black Flute,General items,A toy flute made from black glass. A maniac will buy it for a high price.
79,Black Glasses,Hold items,Increases the power of Dark-type moves.
80,Black Sludge,Hold items,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.
81,Black Tumblestone,General items,
82,Blank Plate,Hold items,
83,Blastoisinite,Hold items,Enables Blastoise to Mega Evolve during battle.
84,Blazikenite,Hold items,Enables Blaziken to Mega Evolve during battle.
85,Blue Apricorn,General items,A blue Apricorn. It smells a bit like grass.
86,Blue Bottle,None,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.
87,Blue Cup,None,"A cup sold with the Blue Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos."
88,Blue Dish,None,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The blue variety is a consistent strong seller.
89,Blue-Flag Pick,None,"This pick flies a blue flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind."
90,Blue Flute,General items,A toy flute made from blue glass. A maniac will buy it for a high price.
91,Blue Poké Ball Pick,None,A sandwich pick with a simple blue Poké Ball design. Often used by Trainers who picked a Water-type Pokémon for their first partner.
92,Blue Scarf,General items,Raises holder's Beauty aspect in a Contest.
93,Blue Shard,General items,A small blue shard. It appears to be from some sort of implement made long ago.
94,Blue-Sky Flower Pick,None,A flower pick designed to evoke a blue sky. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
95,Blue Tablecloth,None,"A simple blue tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
96,Bluk Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
97,Blunder Policy,Hold items,Raises Speed sharply if its attack misses.
98,Bob's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
99,Boiled Egg,General items,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
100,Bold Mint,Battle items,Changes the Pokémon's stats to match the Bold nature.
101,Bombirdier Feather,General items,"Material obtained after defeating/catching Bombirdier, used in TM crafting."
102,Bonsly Tears,General items,"Material obtained after defeating/catching Bonsly, used in TM crafting."
103,Booster Energy,None,An item to be held by Pokémon with certain Abilities. The energy that fills this capsule boosts the strength of the Pokémon.
104,Bottle Cap,General items,Maximizes one IV stat in Hyper Training.
105,Bounsweet Sweat,General items,"Material obtained after defeating/catching Bounsweet, used in TM crafting."
106,Bramblin Twig,General items,"Material obtained after defeating/catching Bramblin, used in TM crafting."
107,Brave Mint,Battle items,Changes the Pokémon's stats to match the Brave nature.
108,Bread,General items,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
109,Bright Powder,Hold items,Lowers the opponent's accuracy.
110,Brittle Bones,General items,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.
111,Bronze Bottle,None,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
112,Bronze Cup,None,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
113,Bronzor Fragment,General items,"Material obtained after defeating/catching Bronzor, used in TM crafting."
114,Bruxish Tooth,General items,"Material obtained after defeating/catching Bruxish, used in TM crafting."
115,Bug Gem,Hold items,Increases the power of a Bug-type move only once.
116,Bug Memory,Hold items,Changes Silvally and its move Multi-Attack to Bug type.
117,Bug Tera Shard,None,Changes a Pokémon's Tera Type to Bug.
118,Buginium Z,Hold items,"Allows the use of Savage Spin-Out, the Bug type Z-Move."
119,Bugwort,General items,
120,Buizel Fur,General items,"Material obtained after defeating/catching Buizel, used in TM crafting."
121,Burn Drive,Hold items,Changes Techno Blast to a Fire-type move when held by Genesect.
122,Burn Heal,Medicine,Cures a Pokémon of a burn.
123,Butter,None,A condiment that unites salty and sweet and also packs a richness that makes bread a delight to eat. The finest butter products are made of 100 percent Moomoo Milk.
124,B&W Grass Tablecloth,None,"A tablecloth with a fun, trendy black-and-white design featuring Pokémon that seem poised to leap from the tall grass at any moment."
125,Cacnea Needle,General items,"Material obtained after defeating/catching Cacnea, used in TM crafting."
126,Cake-Lure Base,General items,
127,Calcium,Medicine,Increases Special Attack EVs by 10.
128,Calm Mint,Battle items,Changes the Pokémon's stats to match the Calm nature.
129,Cameruptite,Hold items,Enables Camerupt to Mega Evolve during battle.
130,Candy Truffle,General items,
131,Capsakid Seed,General items,"Material obtained after defeating/catching Capsakid, used in TM crafting."
132,Carbos,Medicine,Increases Speed EVs by 10.
133,Careful Mint,Battle items,Changes the Pokémon's stats to match the Careful nature.
134,Carrot Seeds,General items,Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.
135,Casteliacone,Medicine,Heals all major status conditions.
136,Caster Fern,General items,
137,Cell Battery,Hold items,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise."
138,Cetoddle Grease,General items,"Material obtained after defeating/catching Cetoddle, used in TM crafting."
139,Chalky Stone,General items,A small whitish stone picked up at the edge of the road.
140,Charcadet Soot,General items,"Material obtained after defeating/catching Charcadet, used in TM crafting."
141,Charcoal,Hold items,Increases the power of Fire-type moves.
142,Charizardite X,Hold items,Enables Charizard to Mega Evolve during battle.
143,Charizardite Y,Hold items,Enables Charizard to Mega Evolve during battle.
144,Charti Berry,Berries,Weakens a supereffective Rock-type attack against the holding Pokémon.
145,Cheese,None,A very salty ingredient. This thinly sliced cheese is perfect for adding to a sandwich.
146,Cheri Berry,Berries,"If held by a Pokémon, it recovers from paralysis."
147,Cherish Ball,Pokeballs,Rre Poké Ball used for event Pokémon.
148,Cherry Tomatoes,None,"A very tart ingredient. Some varieties are also very sweet, and these are prized above all others by the people of Paldea."
149,Chesto Berry,Berries,"If held by a Pokémon, it recovers from sleep."
150,Chewtle Claw,General items,"Material obtained after defeating/catching Chewtle, used in TM crafting."
151,Chilan Berry,Berries,Weakens a Normal-type attack against the Pokémon holding this berry.
152,Chili Sauce,None,A condiment with a very spicy kick. It’s thanks to Scovillain that this sauce gets its signature mouth-tingling burn.
153,Chill Drive,Hold items,Changes Techno Blast to an Ice-type move when held by Genesect.
154,Chipped Pot,Hold items,Evolves Sinistea into Polteageist.
155,Choice Band,Hold items,"Raises Attack, but only one move can be used."
156,Choice Dumpling,General items,
157,Choice Scarf,Hold items,"Raises Speed, but only one move can be used."
158,Choice Specs,Hold items,"Raises Special Attack, but only one move can be used."
159,Chople Berry,Berries,Weakens a supereffective Fighting-type attack against the holding Pokémon.
160,Chorizo,None,"A very salty and spicy ingredient. This type of sausage has particularly robust salty flavor, and the spicier varieties are extra popular."
161,Clauncher Claw,General items,"Material obtained after defeating/catching Clauncher, used in TM crafting."
162,Claw Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.
163,Cleanse Tag,Hold items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.
164,Clear Amulet,None,"An item to be held by a Pokémon. This clear, sparkling amulet protects the holder from having its stats lowered by moves used against it or by other Pokémon’s Abilities."
165,Clever Feather,Medicine,Increases Special Defense EVs by 1.
166,Clever Mochi,Medicine,Increases Special Defense EVs.
167,Clover Sweet,Hold items,Evolves Milcery into Clover Flavor Alcremie.
168,Coba Berry,Berries,Weakens a supereffective Flying-type attack against the holding Pokémon.
169,Coconut Milk,General items,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.
170,Colbur Berry,Berries,Weakens a supereffective Dark-type attack against the holding Pokémon.
171,Combee Honey,General items,"Material obtained after defeating/catching Combee, used in TM crafting."
172,Comet Shard,General items,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.
173,Cornn Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
174,Courage Candy,Medicine,Increases a Pokémon's Special Defense stat by 1.
175,Courage Candy L,Medicine,Increases a Pokémon's Special Defense stat.
176,Courage Candy XL,Medicine,Increases a Pokémon's Special Defense stat.
177,Cover Fossil,General items,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.
178,Covert Cloak,Hold items,"Conceals the holder, protecting it from the additional effects of moves."
179,Crabrawler Shell,General items,"Material obtained after defeating/catching Crabrawler, used in TM crafting."
180,Cracked Pot,Hold items,Evolves Sinistea into Polteageist.
181,Crafting Kit,General items,
182,Cream Cheese,None,"A condiment offering very sweet and very tart flavor. It goes well with more ingredients than you’d expect, making it a convenient go-to."
