pokemon_id,team_id,regulation,game_name,pokemon_name,type1,type2,ability,teratype,nature,bst,hp,atk,def,sp_atk,sp_def,spd
0,1,Regulation Set A,Baxcalibur (M),Baxcalibur,Dragon,Ice,Thermal Exchange,Water,Adamant,600,115,145,92,75,86,87
1,1,Regulation Set A,Garganacl (M),Garganacl,Rock,,Purifying Salt,Poison,Careful,500,100,100,130,45,90,35
2,1,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Steel,Timid,550,87,60,95,133,91,84
3,1,Regulation Set A,Meowscarada (M),Meowscarada,Grass,Dark,Overgrow,Grass,Adamant,530,76,110,70,81,70,123
4,1,Regulation Set A,Mimikyu (F),Mimikyu,Ghost,Fairy,Disguise,Ghost,Adamant,476,55,90,80,50,105,96
5,1,Regulation Set A,Tauros-Paldea-Water,Tauros (Aqua Breed),Fighting,Water,Intimidate,Water,Impish,490,75,110,105,30,70,100
6,2,Regulation Set A,Arcanine,Arcanine,Fire,,Intimidate,Fairy,Adamant,555,90,110,80,100,80,95
7,2,Regulation Set A,Pawmot,Pawmot,Electric,Fighting,Natural Cure,Electric,Jolly,490,70,115,70,70,60,105
8,2,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Steel,Timid,550,87,60,95,133,91,84
9,2,Regulation Set A,Tatsugiri (Tatsugiri-Stretchy),Tatsugiri (Stretchy Form),Dragon,Water,Commander,Water,Timid,475,68,50,60,120,95,82
10,2,Regulation Set A,Meowscarada,Meowscarada,Grass,Dark,Protean,Grass,Jolly,530,76,110,70,81,70,123
11,2,Regulation Set A,Dondozo,Dondozo,Water,,Unaware,Dragon,Adamant,530,150,100,115,65,65,35
12,3,Regulation Set A,Indeedee-F (F),Indeedee (Female),Psychic,Normal,Psychic Surge,Psychic,Bold,475,70,55,65,95,105,85
13,3,Regulation Set A,Armarouge,Armarouge,Fire,Psychic,Flash Fire,Grass,Modest,525,85,60,100,125,80,75
14,3,Regulation Set A,Maushold-Four,Maushold (Family of Four),Normal,,Technician,Ghost,Jolly,470,74,75,70,65,75,111
15,3,Regulation Set A,Hydreigon,Hydreigon,Dark,Dragon,Levitate,Steel,Timid,600,92,105,90,125,90,98
16,3,Regulation Set A,Meowscarada,Meowscarada,Grass,Dark,Overgrow,Grass,Adamant,530,76,110,70,81,70,123
17,3,Regulation Set A,Murkrow,Murkrow,Dark,Flying,Insomnia,Dark,Impish,405,60,85,42,85,42,91
18,4,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,None,Modest,550,87,60,95,133,91,84
19,4,Regulation Set A,Murkrow (F),Murkrow,Dark,Flying,Prankster,Flying,Calm,405,60,85,42,85,42,91
20,4,Regulation Set A,Hydreigon (F),Hydreigon,Dark,Dragon,Levitate,Steel,Timid,600,92,105,90,125,90,98
21,4,Regulation Set A,Annihilape (M),Annihilape,Fighting,Ghost,Defiant,None,Adamant,535,110,115,80,50,90,90
22,4,Regulation Set A,Armarouge (M),Armarouge,Fire,Psychic,Flash Fire,Grass,Modest,525,85,60,100,125,80,75
23,4,Regulation Set A,Dragonite (M),Dragonite,Dragon,Flying,Inner Focus,Normal,Adamant,600,91,134,95,100,100,80
24,5,Regulation Set A,Pelipper,Pelipper,Water,Flying,Drizzle,Grass,Modest,440,60,50,100,95,70,65
25,5,Regulation Set A,Palafin,Palafin (Hero Form),Water,,Zero to Hero,Water,Adamant,650,100,160,97,106,87,100
26,5,Regulation Set A,Kingambit,Kingambit,Dark,Steel,Defiant,Dark,Adamant,550,100,135,120,60,85,50
27,5,Regulation Set A,Gallade,Gallade,Psychic,Fighting,Sharpness,Grass,Adamant,518,68,125,65,65,115,80
28,5,Regulation Set A,Rotom-Mow,Rotom (Mow Rotom),Electric,Grass,Levitate,Electric,Modest,520,50,65,107,105,107,86
29,5,Regulation Set A,Amoonguss,Amoonguss,Grass,Poison,Regenerator,Water,Bold,464,114,85,70,85,80,30
30,6,Regulation Set A,Hariyama (M),Hariyama,Fighting,,Guts,Fighting,Adamant,474,144,120,60,40,60,50
31,6,Regulation Set A,Amoonguss (F),Amoonguss,Grass,Poison,Regenerator,Water,Sassy,464,114,85,70,85,80,30
32,6,Regulation Set A,Frosmoth (M),Frosmoth,Ice,Bug,Ice Scales,Electric,Modest,475,70,65,60,125,90,65
33,6,Regulation Set A,Kingambit (M),Kingambit,Dark,Steel,Defiant,Flying,Adamant,550,100,135,120,60,85,50
34,6,Regulation Set A,Farigiraf (M),Farigiraf,Normal,Psychic,Armor Tail,Normal,Quiet,520,120,90,70,110,70,60
35,6,Regulation Set A,Sylveon (F),Sylveon,Fairy,,Pixilate,Fire,Quiet,525,95,65,65,110,130,60
36,7,Regulation Set A,Murkrow (M),Murkrow,Dark,Flying,Prankster,Ghost,Calm,405,60,85,42,85,42,91
37,7,Regulation Set A,Azumarill (F),Azumarill,Water,Fairy,Huge Power,Grass,Adamant,420,100,50,80,60,80,50
38,7,Regulation Set A,Hydreigon (M),Hydreigon,Dark,Dragon,Levitate,Steel,Timid,600,92,105,90,125,90,98
39,7,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Flying,Modest,550,87,60,95,133,91,84
40,7,Regulation Set A,Rotom-Heat,Rotom (Heat Rotom),Electric,Fire,Levitate,Electric,Modest,520,50,65,107,105,107,86
41,7,Regulation Set A,Garchomp (M),Garchomp,Dragon,Ground,Rough Skin,Fire,Jolly,600,108,130,95,80,85,102
42,8,Regulation Set A,Hydreigon,Hydreigon,Dark,Dragon,Levitate,Fire,Modest,600,92,105,90,125,90,98
43,8,Regulation Set A,Garchomp,Garchomp,Dragon,Ground,Rough Skin,Fire,Jolly,600,108,130,95,80,85,102
44,8,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Flying,Modest,550,87,60,95,133,91,84
45,8,Regulation Set A,Amoonguss,Amoonguss,Grass,Poison,Regenerator,Dark,Sassy,464,114,85,70,85,80,30
46,8,Regulation Set A,Murkrow,Murkrow,Dark,Flying,Prankster,Ghost,Bold,405,60,85,42,85,42,91
47,8,Regulation Set A,Maushold-Four,Maushold (Family of Four),Normal,,Technician,Ghost,Jolly,470,74,75,70,65,75,111
48,9,Regulation Set A,Gothitelle (M),Gothitelle,Psychic,,Shadow Tag,Dark,Careful,490,70,55,95,95,110,65
49,9,Regulation Set A,Gyarados (M),Gyarados,Water,Flying,Intimidate,Flying,Jolly,540,95,125,79,60,100,81
50,9,Regulation Set A,Kingambit (M),Kingambit,Dark,Steel,Defiant,Fairy,Adamant,550,100,135,120,60,85,50
51,9,Regulation Set A,Amoonguss (M),Amoonguss,Grass,Poison,Regenerator,Water,Calm,464,114,85,70,85,80,30
52,9,Regulation Set A,Azumarill (F),Azumarill,Water,Fairy,Sap Sipper,Ground,Relaxed,420,100,50,80,60,80,50
53,9,Regulation Set A,Meowscarada (M),Meowscarada,Grass,Dark,Protean,Grass,Adamant,530,76,110,70,81,70,123
54,10,Regulation Set A,Talonflame (M),Talonflame,Fire,Flying,Gale Wings,Fire,Timid,499,78,81,71,74,69,126
55,10,Regulation Set A,Skeledirge (M),Skeledirge,Fire,Ghost,Unaware,Grass,Modest,530,104,75,100,110,75,66
56,10,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Water,Timid,550,87,60,95,133,91,84
57,10,Regulation Set A,Annihilape (F),Annihilape,Fighting,Ghost,Defiant,Fighting,Adamant,535,110,115,80,50,90,90
58,10,Regulation Set A,Tyranitar (F),Tyranitar,Rock,Dark,Sand Stream,Fire,Adamant,600,100,134,110,95,100,61
59,10,Regulation Set A,Canela (Houndstone) (M),Houndstone,Ghost,,Sand Rush,Dark,Adamant,488,72,101,100,50,97,68
60,11,Regulation Set A,Baxcalibur (M),Baxcalibur,Dragon,Ice,Thermal Exchange,Ground,Adamant,600,115,145,92,75,86,87
61,11,Regulation Set A,Azumarill (M),Azumarill,Water,Fairy,Sap Sipper,Fairy,Calm,420,100,50,80,60,80,50
62,11,Regulation Set A,Salazzle,Salazzle,Poison,Fire,Oblivious,Flying,Timid,480,68,64,60,111,60,117
63,11,Regulation Set A,Hydreigon (F),Hydreigon,Dark,Dragon,Levitate,Steel,Timid,600,92,105,90,125,90,98
64,11,Regulation Set A,Gallade,Gallade,Psychic,Fighting,Sharpness,Psychic,Adamant,518,68,125,65,65,115,80
65,11,Regulation Set A,Amoonguss (M),Amoonguss,Grass,Poison,Regenerator,Water,Bold,464,114,85,70,85,80,30
66,12,Regulation Set A,Abomasnow,Abomasnow,Grass,Ice,Snow Warning,Water,Modest,494,90,92,75,92,85,60
67,12,Regulation Set A,Cetitan,Cetitan,Ice,,Slush Rush,Water,Adamant,521,170,113,65,45,55,73
68,12,Regulation Set A,Indeedee-F,Indeedee (Female),Psychic,Normal,Psychic Surge,Fairy,Bold,475,70,55,65,95,105,85
69,12,Regulation Set A,Armarouge,Armarouge,Fire,Psychic,Flash Fire,Dark,Modest,525,85,60,100,125,80,75
70,12,Regulation Set A,Hydreigon,Hydreigon,Dark,Dragon,Levitate,Poison,Timid,600,92,105,90,125,90,98
71,12,Regulation Set A,Annihilape (M),Annihilape,Fighting,Ghost,Defiant,Water,Adamant,535,110,115,80,50,90,90
72,13,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,None,Modest,550,87,60,95,133,91,84
73,13,Regulation Set A,Murkrow,Murkrow,Dark,Flying,Prankster,Ghost,Bold,405,60,85,42,85,42,91
74,13,Regulation Set A,Dragonite,Dragonite,Dragon,Flying,Inner Focus,Normal,Adamant,600,91,134,95,100,100,80
75,13,Regulation Set A,Hydreigon,Hydreigon,Dark,Dragon,Levitate,Fire,Modest,600,92,105,90,125,90,98
76,13,Regulation Set A,Ceruledge,Ceruledge,Fire,Ghost,Flash Fire,Grass,Adamant,525,75,125,80,60,100,85
77,13,Regulation Set A,Gengar,Gengar,Ghost,Poison,Cursed Body,Flying,Timid,500,60,65,60,130,75,110
79,14,Regulation Set A,Dondozo,Dondozo,Water,,Unaware,Grass,Adamant,530,150,100,115,65,65,35
80,14,Regulation Set A,Sylveon,Sylveon,Fairy,,Pixilate,None,Modest,525,95,65,65,110,130,60
81,14,Regulation Set A,Hydreigon,Hydreigon,Dark,Dragon,Levitate,Steel,Timid,600,92,105,90,125,90,98
82,14,Regulation Set A,Armarouge,Armarouge,Fire,Psychic,Flash Fire,Dark,Modest,525,85,60,100,125,80,75
83,14,Regulation Set A,Meowscarada,Meowscarada,Grass,Dark,Overgrow,None,Adamant,530,76,110,70,81,70,123
84,15,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,None,Modest,550,87,60,95,133,91,84
85,15,Regulation Set A,Garchomp (M),Garchomp,Dragon,Ground,Rough Skin,Fire,Adamant,600,108,130,95,80,85,102
86,15,Regulation Set A,Maushold-Four,Maushold (Family of Four),Normal,,Technician,None,Jolly,470,74,75,70,65,75,111
87,15,Regulation Set A,Annihilape (F),Annihilape,Fighting,Ghost,Defiant,Normal,Jolly,535,110,115,80,50,90,90
88,15,Regulation Set A,Murkrow (F),Murkrow,Dark,Flying,Prankster,Ghost,Bold,405,60,85,42,85,42,91
89,15,Regulation Set A,Hydreigon (F),Hydreigon,Dark,Dragon,Levitate,Steel,Timid,600,92,105,90,125,90,98
90,16,Regulation Set A,Kilowattrel (M),Kilowattrel,Electric,Flying,Competitive,Steel,Timid,490,70,70,60,105,60,125
91,16,Regulation Set A,Meowscarada (F),Meowscarada,Grass,Dark,Overgrow,Ghost,Jolly,530,76,110,70,81,70,123
92,16,Regulation Set A,Pelipper (M),Pelipper,Water,Flying,Drizzle,Ground,Modest,440,60,50,100,95,70,65
93,16,Regulation Set A,Amoonguss (F),Amoonguss,Grass,Poison,Regenerator,Water,Sassy,464,114,85,70,85,80,30
94,16,Regulation Set A,Palafin (F),Palafin (Hero Form),Water,,Zero to Hero,None,Adamant,650,100,160,97,106,87,100
95,16,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,None,Timid,550,87,60,95,133,91,84
96,17,Regulation Set A,Tatsugiri-Stretchy (M),Tatsugiri (Stretchy Form),Dragon,Water,Commander,Dragon,Timid,475,68,50,60,120,95,82
97,17,Regulation Set A,Dondozo (M),Dondozo,Water,,Unaware,Dragon,Adamant,530,150,100,115,65,65,35
98,17,Regulation Set A,Meowscarada (M),Meowscarada,Grass,Dark,Overgrow,Grass,Jolly,530,76,110,70,81,70,123
99,17,Regulation Set A,Gholdengo,Gholdengo,Steel,Ghost,Good as Gold,Steel,Modest,550,87,60,95,133,91,84
