,Team_id,Regulation,Name,Item,Ability,Tera Type,HP Evs,Atk Evs,Def Evs,SpAtk Evs,SpDef Evs,Spe Evs,Nature,IVs,Move 1,Move 2,Move 3,Move 4
0,1.0,Regulation Set A,Baxcalibur (M),Loaded Dice,Thermal Exchange,Water,252.0,196.0,4.0,0.0,4.0,52.0,Adamant,None,Glaive Rush,Icicle Spear,Ice Shard,Protect
1,1.0,Regulation Set A,Garganacl (M),Leftovers,Purifying Salt,Poison,252.0,0.0,60.0,0.0,196.0,0.0,Careful,None,Salt Cure,Recover,Wide Guard,Protect
2,1.0,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,Steel,164.0,0.0,4.0,20.0,68.0,252.0,Timid,0 Atk,Make It Rain,Shadow Ball,Power Gem,Focus Blast
3,1.0,Regulation Set A,Meowscarada (M),Focus Sash,Overgrow,Grass,4.0,252.0,0.0,0.0,0.0,252.0,Adamant,None,Flower Trick,Knock Off,Sucker Punch,Protect
4,1.0,Regulation Set A,Mimikyu (F),Life Orb,Disguise,Ghost,4.0,252.0,0.0,0.0,0.0,252.0,Adamant,None,Play Rough,Shadow Claw,Shadow Sneak,Protect
5,1.0,Regulation Set A,Tauros-Paldea-Water,Safety Goggles,Intimidate,Water,244.0,28.0,68.0,0.0,12.0,156.0,Impish,None,Close Combat,Wave Crash,Aqua Jet,Protect
6,2.0,Regulation Set A,Arcanine,Assault Vest,Intimidate,Fairy,252.0,236.0,4.0,0.0,12.0,4.0,Adamant,None,Flare Blitz,Extreme Speed,Snarl,Play Rough
7,2.0,Regulation Set A,Pawmot,Focus Sash,Natural Cure,Electric,4.0,252.0,0.0,0.0,0.0,252.0,Jolly,None,Double Shock,Close Combat,Revival Blessing,Fake Out
8,2.0,Regulation Set A,Gholdengo,Life Orb,Good as Gold,Steel,124.0,0.0,4.0,124.0,4.0,252.0,Timid,0 Atk,Make It Rain,Shadow Ball,Nasty Plot,Protect
9,2.0,Regulation Set A,Tatsugiri (Tatsugiri-Stretchy),Choice Scarf,Commander,Water,4.0,0.0,44.0,204.0,4.0,252.0,Timid,0 Atk,Muddy Water,Draco Meteor,Soak,Icy Wind
10,2.0,Regulation Set A,Meowscarada,Choice Band,Protean,Grass,4.0,252.0,0.0,0.0,0.0,252.0,Jolly,None,U-turn,Flower Trick,Knock Off,Sucker Punch
11,2.0,Regulation Set A,Dondozo,Chesto Berry,Unaware,Dragon,4.0,236.0,4.0,0.0,12.0,252.0,Adamant,None,Wave Crash,Order Up,Earthquake,Rest
12,3.0,Regulation Set A,Indeedee-F (F),Psychic Seed,Psychic Surge,Psychic,244.0,0.0,252.0,4.0,4.0,4.0,Bold,0 Atk,Follow Me,Dazzling Gleam,Helping Hand,Protect
13,3.0,Regulation Set A,Armarouge,Life Orb,Flash Fire,Grass,228.0,0.0,20.0,252.0,4.0,4.0,Modest,0 Atk,Expanding Force,Armor Cannon,Trick Room,Protect
14,3.0,Regulation Set A,Maushold-Four,Wide Lens,Technician,Ghost,4.0,252.0,0.0,0.0,0.0,252.0,Jolly,None,Population Bomb,Encore,Follow Me,Protect
15,3.0,Regulation Set A,Hydreigon,Choice Specs,Levitate,Steel,4.0,0.0,0.0,252.0,0.0,252.0,Timid,0 Atk,Draco Meteor,Heat Wave,Dark Pulse,Flash Cannon
16,3.0,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Grass,4.0,252.0,0.0,0.0,0.0,252.0,Adamant,None,Flower Trick,Knock Off,Protect,Trick Room
17,3.0,Regulation Set A,Murkrow,Eviolite,Insomnia,Dark,252.0,4.0,140.0,0.0,108.0,4.0,Impish,None,Haze,Tailwind,Foul Play,
18,4.0,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,,132.0,0.0,4.0,244.0,0.0,124.0,Modest,0 Atk,Make It Rain,Shadow Ball,Trick,Thunderbolt
19,4.0,Regulation Set A,Murkrow (F),Eviolite,Prankster,Flying,252.0,0.0,116.0,0.0,140.0,0.0,Calm,0 Atk,Foul Play,Haze,Tailwind,Quash
20,4.0,Regulation Set A,Hydreigon (F),Life Orb,Levitate,Steel,4.0,0.0,0.0,252.0,0.0,252.0,Timid,0 Atk,Dark Pulse,Flash Cannon,Draco Meteor,Protect
21,4.0,Regulation Set A,Annihilape (M),Choice Scarf,Defiant,,252.0,100.0,0.0,0.0,0.0,156.0,Adamant,None,Final Gambit,Shadow Claw,Close Combat,U-turn
22,4.0,Regulation Set A,Armarouge (M),Covert Cloak,Flash Fire,Grass,252.0,0.0,0.0,252.0,4.0,0.0,Modest,0 Atk / 21 Spe,Expanding Force,Armor Cannon,Wide Guard,Energy Ball
